id;caption;category_id;images;description;short_description
;Смартфон Tecno Camon 19 Neo 6/128Gb Eco;201; ;Смартфон Tecno Camon 19 Neo в корпусе черного цвета оборудован восьмиядерным процессором Mediatek Helio и выполняет свои функции на платформе Android 12. Дисплей размером 6,78 дюйма и разрешением 1080х2460 пикселей выполнен по технологии IPS. Размер оперативной памяти смартфона — 6 Гб, встроенной — 128 Гб.;Смартфон Tecno Camon 19 Neo в корпусе черного цвета оборудован восьмиядерным процессором Mediatek Helio
;Смартфон Apple iPhone 14 Pro 256GB Space Black;201; ;Смартфон Apple iPhone 14 Pro в корпусе цвета Space Black со встроенной памятью объемом 256 Гб оборудован OLED-дисплеем диагональю 6,1 дюйма с адаптивной частотой обновления до 120 Гц.;Смартфон Apple iPhone 14 Pro в корпусе цвета Space Black со встроенной памятью объемом 256 Гб.
;Смарт-часы HUAWEI Watch GT 2 Pro Black;202; ;Смарт-часы Huawei Watch GT 2 Pro (VID-B19) придутся по вкусу ценителям надёжности.;Принимайте звонки по громкой связи. Модуль GPS позволит точно определить ваши координаты во время походов. Ёмкий аккумулятор даёт возможность оставаться в сети до 14 дней.
;Часы с GPS трекером HUAWEI Watch Kids 4 Pro Pink;202; ;ССмарт-часы Huawei Kids Watch 4 Pro дадут родителям возможность испытывать меньше волнений за своего ребёнка. Девятифакторная технология отслеживания позволит в любой момент знать, где находится сын или дочь. Устройство использует навигаторы GPS, ГЛОНАСС, A-GPS, Beidou, а также разные виды позиционирования: WLAN, базовой станции, в роуминге, с помощью акселерометра и камеры.;Смарт-часы Huawei Kids Watch 4 Pro дадут родителям возможность испытывать меньше волнений за своего ребёнка.
;Ноутбук игровой Thunderobot 911 Air D;301; ;Thunderobot 911 Air D — игровой ноутбук с экраном, созданным по технологии AHVA. Его диагональ — 15,6 дюйма, разрешение — 1920 х 1080 пикселей, частота обновления — 60 Гц. Матовое покрытие обеспечивает защиту от бликования при ярком свете. В основе аппаратной платформы — шестиядерный процессор Intel Core i5 11260H. Его дополняют дискретная видеокарта GeForce GTX 1650 Max-Q, оперативная память 8 Гб и SSD-накопитель 256 Гб. У клавиатуры есть подсветка.;hunderobot 911 Air D — игровой ноутбук с экраном, созданным по технологии AHVA. Его диагональ — 15,6 дюйма, разрешение — 1920 х 1080 пикселей, частота обновления — 60 Гц.
;Ноутбук для бизнеса HP 250 G8 27K08EA;301; ;HP 250 G8 27K08EA – лёгкий ноутбук в тонком корпусе, подходит для бизнеса и офисных задач, удобно использовать в поездках. Время автономной работы позволяет пользоваться устройством весь день без подзарядки.;HP 250 G8 27K08EA – лёгкий ноутбук в тонком корпусе, подходит для бизнеса и офисных задач.
;Системный блок игровой Thunderobot Alpha D;303; ;Игровой системный блок Thunderobot Alpha D — модель в черном корпусе с RGB-подсветкой логотипа. В основе аппаратной части лежит шестиядерный процессор Intel Core i5 12400 с тактовой частотой 2,5 ГГц. Кэш-память — 18 Мб.;Игровой системный блок Thunderobot Alpha D — модель в черном корпусе с RGB-подсветкой логотипа.
;Монитор HUAWEI MateView SE SSN-24;304; ;Экран монитора Huawei MateView SE SSN-24 создан по технологии IPS. Его диагональ — 23,8 дюйма, разрешение — 1920 х 1080 пикселей, частота обновления — 75 Гц. Максимальные углы обзора по вертикали и горизонтали — 178°.;Экран монитора Huawei MateView SE SSN-24 создан по технологии IPS. Его диагональ — 23,8 дюйма, разрешение — 1920 х 1080 пикселей, частота обновления — 75 Гц.
;Монитор игровой Acer Nitro QG241Ybii;304; ;Монитор Acer Nitro QG241Ybii станет твоим проводником в реалистичные виртуальные миры. Его матрица VA раскроет перед тобой насыщенные краски спецэффектов, глубину чёрного цвета и кристальную чистоту яркого света.;Монитор Acer Nitro QG241Ybii станет твоим проводником в реалистичные виртуальные миры.
